DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1739036232.3658905
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1739036232.3083265
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_adapters.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\postgres\utils.py first seen with mtime 1739036230.607064
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1739036232.3387733
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\traceback.py first seen with mtime 1738695914.0
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\__init__.py first seen with mtime 1739036227.3902297
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\sites\requests.py first seen with mtime 1739036231.5104418
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\deletion.py first seen with mtime 1739036232.0665748
DEBUG 2025-02-08 18:41:19,610 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1739036205.1625438
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\management\__init__.py first seen with mtime 1739036231.9048364
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\__init__.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1739036232.1166549
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\email\mime\message.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\copyreg.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\dummy\base.py first seen with mtime 1739036231.9750051
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\email\policy.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1739036205.1528864
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,611 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1739036232.0553784
DEBUG 2025-02-08 18:41:19,612 autoreload File V:\..Dev\Learning-Django\natour\natour_api\apps.py first seen with mtime 1739036059.457015
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\postgres\fields\__init__.py first seen with mtime 1739036230.6139743
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\types.py first seen with mtime 1738695914.0
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\wsgiref\simple_server.py first seen with mtime 1738695914.0
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\selectors.py first seen with mtime 1738695912.0
DEBUG 2025-02-08 18:41:19,612 autoreload File C:\Users\vitor\AppData\Local\Programs\Python\Python312\Lib\asyncio\taskgroups.py first seen with mtime 1738695912.0
